begin timestamp : 1700706233.3579605; tag : query; duration : 0.10722780227661133; package_0 : 5857516.0; package_1 : 6752855.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4963
begin timestamp : 1700706233.4680135; tag : query; duration : 0.1788923740386963; package_0 : 9739364.0; package_1 : 11237868.0; core_0 : 595.0; core_1 : 0.0; nvidia_gpu_0 : 8208
begin timestamp : 1700706233.6497626; tag : query; duration : 0.15572643280029297; package_0 : 8490100.0; package_1 : 9780332.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7155
begin timestamp : 1700706233.807927; tag : query; duration : 0.0901949405670166; package_0 : 4927709.0; package_1 : 5669125.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4295
begin timestamp : 1700706233.9010026; tag : query; duration : 0.09479355812072754; package_0 : 5173438.0; package_1 : 5910019.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 4198
begin timestamp : 1700706233.9987054; tag : query; duration : 0.09087824821472168; package_0 : 4981584.0; package_1 : 5746255.0; core_0 : 0.0; core_1 : 519.0; nvidia_gpu_0 : 4274
begin timestamp : 1700706234.0925968; tag : query; duration : 0.17058730125427246; package_0 : 9306083.0; package_1 : 10718440.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7899
begin timestamp : 1700706234.2666016; tag : query; duration : 0.164168119430542; package_0 : 8992592.0; package_1 : 10353621.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7559
begin timestamp : 1700706234.433754; tag : query; duration : 0.1629788875579834; package_0 : 8869017.0; package_1 : 10287935.0; core_0 : 748.0; core_1 : 0.0; nvidia_gpu_0 : 7511
begin timestamp : 1700706234.5996048; tag : query; duration : 0.16409015655517578; package_0 : 8985649.0; package_1 : 10362517.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7550
begin timestamp : 1700706234.7677598; tag : query; duration : 0.16342830657958984; package_0 : 8922832.0; package_1 : 10293260.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7569
begin timestamp : 1700706234.9353237; tag : query; duration : 0.18665838241577148; package_0 : 10191337.0; package_1 : 11723896.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 8594
