begin timestamp : 1700707904.3000648; tag : query_2; duration : 0.15776276588439941; package_0 : 8582366.0; package_1 : 9920432.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7309
begin timestamp : 1700707904.460761; tag : query_2; duration : 0.12691354751586914; package_0 : 6968023.0; package_1 : 8012968.0; core_0 : 869.0; core_1 : 504.0; nvidia_gpu_0 : 5974
begin timestamp : 1700707904.5918856; tag : query_2; duration : 0.16688227653503418; package_0 : 9148834.0; package_1 : 10548222.0; core_0 : 565.0; core_1 : 0.0; nvidia_gpu_0 : 7646
begin timestamp : 1700707904.76173; tag : query_2; duration : 0.14925169944763184; package_0 : 8147070.0; package_1 : 9402224.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6962
begin timestamp : 1700707904.9138043; tag : query_2; duration : 0.1341714859008789; package_0 : 7332857.0; package_1 : 8463048.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 6361
begin timestamp : 1700707905.0530653; tag : query_2; duration : 0.13449931144714355; package_0 : 7383301.0; package_1 : 8521852.0; core_0 : 992.0; core_1 : 0.0; nvidia_gpu_0 : 6360
begin timestamp : 1700707905.1931064; tag : query_2; duration : 0.11931872367858887; package_0 : 6507217.0; package_1 : 7505777.0; core_0 : 0.0; core_1 : 15.0; nvidia_gpu_0 : 5550
begin timestamp : 1700707905.3153355; tag : query_2; duration : 0.16520023345947266; package_0 : 9022468.0; package_1 : 10419307.0; core_0 : 0.0; core_1 : 0.0; nvidia_gpu_0 : 7672
begin timestamp : 1700707905.4833767; tag : query_2; duration : 0.15921473503112793; package_0 : 8818468.0; package_1 : 10045547.0; core_0 : 687.0; core_1 : 0.0; nvidia_gpu_0 : 7349
begin timestamp : 1700707905.645521; tag : query_2; duration : 0.15792536735534668; package_0 : 8662699.0; package_1 : 9911246.0; core_0 : 580.0; core_1 : 0.0; nvidia_gpu_0 : 7298
