begin timestamp : 1692662514.832253; tag : query; duration : 0.0037796497344970703; package_0 : 501464.0; core_0 : 495360.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8392713; tag : query; duration : 0.004324913024902344; package_0 : 367370.0; core_0 : 361450.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8441432; tag : query; duration : 0.0037441253662109375; package_0 : 518981.0; core_0 : 512938.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8483596; tag : query; duration : 0.005179882049560547; package_0 : 639524.0; core_0 : 632079.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8540432; tag : query; duration : 0.0038263797760009766; package_0 : 538390.0; core_0 : 532470.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.858816; tag : query; duration : 0.0040857791900634766; package_0 : 526548.0; core_0 : 520385.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8634565; tag : query; duration : 0.0038661956787109375; package_0 : 512450.0; core_0 : 506346.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8678024; tag : query; duration : 0.0037856101989746094; package_0 : 456053.0; core_0 : 450255.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8720608; tag : query; duration : 0.004281759262084961; package_0 : 499999.0; core_0 : 494017.0; uncore_0 : 0.0; nvidia_gpu_0 : 1014
begin timestamp : 1692662514.8868594; tag : query; duration : 0.004071474075317383; package_0 : 138305.0; core_0 : 132141.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8914309; tag : query; duration : 0.0041120052337646484; package_0 : 487426.0; core_0 : 481383.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.8989115; tag : query; duration : 0.003973960876464844; package_0 : 353027.0; core_0 : 347106.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.903352; tag : query; duration : 0.0036153793334960938; package_0 : 464659.0; core_0 : 458617.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.907434; tag : query; duration : 0.003936052322387695; package_0 : 505492.0; core_0 : 615050.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9118385; tag : query; duration : 0.003819704055786133; package_0 : 506713.0; core_0 : 500548.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9189382; tag : query; duration : 0.004027605056762695; package_0 : 361572.0; core_0 : 355651.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9234407; tag : query; duration : 0.004318952560424805; package_0 : 475035.0; core_0 : 468871.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.928232; tag : query; duration : 0.003656625747680664; package_0 : 633055.0; core_0 : 625181.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9323504; tag : query; duration : 0.003629922866821289; package_0 : 459716.0; core_0 : 454040.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9389002; tag : query; duration : 0.0041124820709228516; package_0 : 372069.0; core_0 : 366149.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9435558; tag : query; duration : 0.003651857376098633; package_0 : 366820.0; core_0 : 362303.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.947749; tag : query; duration : 0.00370025634765625; package_0 : 345886.0; core_0 : 341552.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.951966; tag : query; duration : 0.004761934280395508; package_0 : 505492.0; core_0 : 499510.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.95901; tag : query; duration : 0.004415750503540039; package_0 : 467223.0; core_0 : 461120.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9639964; tag : query; duration : 0.0037076473236083984; package_0 : 481628.0; core_0 : 475585.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9681737; tag : query; duration : 0.0036706924438476562; package_0 : 483458.0; core_0 : 477416.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9723294; tag : query; duration : 0.004216194152832031; package_0 : 522154.0; core_0 : 515990.0; uncore_0 : 0.0; nvidia_gpu_0 : 1337
begin timestamp : 1692662514.9794436; tag : query; duration : 0.004015684127807617; package_0 : 390502.0; core_0 : 384581.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.983993; tag : query; duration : 0.0038576126098632812; package_0 : 470213.0; core_0 : 464171.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9883227; tag : query; duration : 0.0038018226623535156; package_0 : 495849.0; core_0 : 489928.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9925935; tag : query; duration : 0.0037431716918945312; package_0 : 493040.0; core_0 : 486937.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662514.9987338; tag : query; duration : 0.0039348602294921875; package_0 : 425536.0; core_0 : 419249.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0031338; tag : query; duration : 0.003652334213256836; package_0 : 480712.0; core_0 : 474913.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0072515; tag : query; duration : 0.0039484500885009766; package_0 : 502562.0; core_0 : 496520.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0116615; tag : query; duration : 0.0036382675170898438; package_0 : 352477.0; core_0 : 348144.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0186107; tag : query; duration : 0.003938436508178711; package_0 : 277221.0; core_0 : 272704.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0230353; tag : query; duration : 0.0041425228118896484; package_0 : 483092.0; core_0 : 477172.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0276437; tag : query; duration : 0.0036852359771728516; package_0 : 482604.0; core_0 : 476622.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0318294; tag : query; duration : 0.003823518753051758; package_0 : 488097.0; core_0 : 482054.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0391014; tag : query; duration : 0.0041294097900390625; package_0 : 372008.0; core_0 : 365904.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
begin timestamp : 1692662515.0437214; tag : query; duration : 0.0036640167236328125; package_0 : 362548.0; core_0 : 358154.0; uncore_0 : 0.0; nvidia_gpu_0 : 0
