begin timestamp : 1709514716.2968984; tag : query_2; duration : 0.059903860092163086; package_0 : 3457938.0; package_1 : 3394217.0; dram_0 : 593289.0; dram_1 : 590596.0
begin timestamp : 1709514716.3574567; tag : query_2; duration : 0.06239724159240723; package_0 : 3600027.0; package_1 : 3599234.0; dram_0 : 633665.0; dram_1 : 602805.0
begin timestamp : 1709514716.4205234; tag : query_2; duration : 0.06160926818847656; package_0 : 3556632.0; package_1 : 3535514.0; dram_0 : 633282.0; dram_1 : 609108.0
begin timestamp : 1709514716.4828393; tag : query_2; duration : 0.0668342113494873; package_0 : 3903982.0; package_1 : 3876638.0; dram_0 : 676092.0; dram_1 : 632349.0
begin timestamp : 1709514716.550332; tag : query_2; duration : 0.06358957290649414; package_0 : 3703237.0; package_1 : 3630423.0; dram_0 : 642906.0; dram_1 : 608068.0
begin timestamp : 1709514716.6145792; tag : query_2; duration : 0.06348395347595215; package_0 : 3689017.0; package_1 : 3628592.0; dram_0 : 645354.0; dram_1 : 612076.0
begin timestamp : 1709514716.6787298; tag : query_2; duration : 0.062027931213378906; package_0 : 3623465.0; package_1 : 3546804.0; dram_0 : 640030.0; dram_1 : 608282.0
begin timestamp : 1709514716.7414098; tag : query_2; duration : 0.06334114074707031; package_0 : 3737051.0; package_1 : 3635184.0; dram_0 : 652560.0; dram_1 : 596777.0
begin timestamp : 1709514716.805402; tag : query_2; duration : 0.06325030326843262; package_0 : 3694936.0; package_1 : 3616080.0; dram_0 : 656202.0; dram_1 : 611649.0
begin timestamp : 1709514716.869308; tag : query_2; duration : 0.06175088882446289; package_0 : 3564810.0; package_1 : 3534292.0; dram_0 : 653142.0; dram_1 : 599958.0
begin timestamp : 1709514716.9317288; tag : query_2; duration : 0.059862375259399414; package_0 : 3466239.0; package_1 : 3394828.0; dram_0 : 624378.0; dram_1 : 594313.0
begin timestamp : 1709514716.9922605; tag : query_2; duration : 0.06321144104003906; package_0 : 3680166.0; package_1 : 3636648.0; dram_0 : 656247.0; dram_1 : 601122.0
begin timestamp : 1709514717.0561383; tag : query_2; duration : 0.05823183059692383; package_0 : 3304923.0; package_1 : 3254386.0; dram_0 : 609965.0; dram_1 : 577835.0
begin timestamp : 1709514717.1150825; tag : query_2; duration : 0.06161141395568848; package_0 : 3556814.0; package_1 : 3546805.0; dram_0 : 626306.0; dram_1 : 601872.0
begin timestamp : 1709514717.1773477; tag : query_2; duration : 0.06687617301940918; package_0 : 3959585.0; package_1 : 3865163.0; dram_0 : 674424.0; dram_1 : 660057.0
begin timestamp : 1709514717.244896; tag : query_2; duration : 0.06331014633178711; package_0 : 3706777.0; package_1 : 3632315.0; dram_0 : 654044.0; dram_1 : 599546.0
begin timestamp : 1709514717.3089; tag : query_2; duration : 0.06480622291564941; package_0 : 3837027.0; package_1 : 3717580.0; dram_0 : 665046.0; dram_1 : 614723.0
begin timestamp : 1709514717.3743548; tag : query_2; duration : 0.06323027610778809; package_0 : 3693411.0; package_1 : 3614798.0; dram_0 : 633251.0; dram_1 : 615763.0
begin timestamp : 1709514717.4382527; tag : query_2; duration : 0.06477570533752441; package_0 : 3778250.0; package_1 : 3697317.0; dram_0 : 649822.0; dram_1 : 621608.0
begin timestamp : 1709514717.503694; tag : query_2; duration : 0.06345677375793457; package_0 : 3710073.0; package_1 : 3639456.0; dram_0 : 655283.0; dram_1 : 621440.0
begin timestamp : 1709514717.5678208; tag : query_2; duration : 0.06326150894165039; package_0 : 3693655.0; package_1 : 3635855.0; dram_0 : 658971.0; dram_1 : 600892.0
begin timestamp : 1709514717.631751; tag : query_2; duration : 0.060359954833984375; package_0 : 3456900.0; package_1 : 3443839.0; dram_0 : 620660.0; dram_1 : 584108.0
begin timestamp : 1709514717.6927807; tag : query_2; duration : 0.06678032875061035; package_0 : 3907461.0; package_1 : 3880544.0; dram_0 : 674806.0; dram_1 : 645369.0
begin timestamp : 1709514717.7602816; tag : query_2; duration : 0.06470799446105957; package_0 : 3805410.0; package_1 : 3716909.0; dram_0 : 668411.0; dram_1 : 624929.0
begin timestamp : 1709514717.8256536; tag : query_2; duration : 0.06380271911621094; package_0 : 3740469.0; package_1 : 3630178.0; dram_0 : 652177.0; dram_1 : 605895.0
